Date,WorkStart,WorkEnd,RestStart,RestEnd,Memo
2025-05-24,00:09:14,00:09:18,00:09:18,00:09:22,
2025-05-24,00:09:22,00:09:37,00:09:37,00:09:41,
2025-05-24,00:09:41,00:09:45,00:09:45,00:09:49,
2025-05-24,00:09:49,00:09:53,00:09:53,00:09:57,
,,,,00:48:26,
,,,,00:48:28,
,,,,00:48:30,
,,,,00:48:32,
,,,,00:48:34,
,,,,00:48:36,
,,,,00:48:38,
2025-05-24,00:52:25,00:52:32,00:52:32,00:52:39,
,,,,00:56:42,
,,,,00:56:44,
,,,,00:56:46,
,,,,00:56:48,
,,,,00:56:50,
,,,,00:56:52,
2025-05-24,00:59:47,00:59:54,00:59:54,01:00:01,
,,,,01:01:15,
,,,,01:01:17,
,,,,01:01:19,
,,,,01:01:21,
,,,,01:01:23,
,,,,01:01:45,
2025-05-24,01:02:18,01:02:22,01:02:22,01:02:26,
2025-05-24,01:03:19,01:03:20,01:03:20,01:03:21,
2025-05-24,01:03:21,01:03:22,01:03:22,01:03:23,
