Date,WorkStart,WorkEnd,RestStart,RestEnd,Memo
2025-05-23,00:06:17,00:06:24,00:06:24,00:06:31,
2025-05-23,00:06:31,00:06:38,00:06:38,00:06:45,
2025-05-23,00:06:45,00:06:57,00:06:57,00:07:08,
2025-05-23,00:07:47,00:07:51,00:07:51,00:07:55,
2025-05-23,00:08:02,00:08:05,00:08:05,00:08:09,
2025-05-23,00:08:09,00:08:13,00:08:13,00:08:17,
2025-05-23,00:08:17,00:08:21,00:08:21,00:08:25,
2025-05-23,00:08:25,00:08:29,00:08:29,00:08:33,
2025-05-23,00:08:33,00:08:37,00:08:37,00:08:41,
2025-05-23,00:13:41,00:13:45,00:13:45,00:13:49,
2025-05-23,00:13:49,00:13:53,00:13:53,00:13:57,
2025-05-23,00:15:09,00:15:16,00:15:16,00:15:30,
2025-05-23,00:15:30,00:15:37,00:15:37,00:15:44,
2025-05-23,00:17:08,00:17:15,00:17:15,00:17:28,
2025-05-23,00:26:49,00:26:51,00:26:51,00:26:53,
2025-05-23,00:26:58,00:26:58,00:26:58,00:27:00,
2025-05-23,00:27:00,00:27:02,00:27:02,00:27:04,
2025-05-23,00:27:25,00:27:32,00:27:32,00:27:39,
2025-05-23,00:50:06,00:50:13,00:50:13,00:50:25,
