Date,WorkStart,WorkEnd,RestStart,RestEnd,Memo
2025-05-23,00:06:17,00:06:24,00:06:24,00:06:31,
2025-05-23,00:06:31,00:06:38,00:06:38,00:06:45,
2025-05-23,00:06:45,00:06:57,00:06:57,00:07:08,
2025-05-23,00:07:47,00:07:51,00:07:51,00:07:55,
2025-05-23,00:08:02,00:08:05,00:08:05,00:08:09,
2025-05-23,00:08:09,00:08:13,00:08:13,00:08:17,
2025-05-23,00:08:17,00:08:21,00:08:21,00:08:25,
2025-05-23,00:08:25,00:08:29,00:08:29,00:08:33,
2025-05-23,00:08:33,00:08:37,00:08:37,00:08:41,
2025-05-23,00:13:41,00:13:45,00:13:45,00:13:49,
2025-05-23,00:13:49,00:13:53,00:13:53,00:13:57,
